Meaux,Nanteuil-le-Haudouin
Meaux,La Ferte-Milon
Betz,Nanteuil-le-Haudouin
Betz,La Ferte-Milon
Betz,Crepy-en-Valois
La Ferte-Milon,Saint-Remy-Blanzy
La Ferte-Milon,Villers-Cotterets
Pierrefonds,Villers-Cotterets
Pierrefonds,Crepy-en-Valois
Pierrefonds,Carlepont
Soissons,Villers-Cotterets
Soissons,Saint-Remy-Blanzy
Soissons,Vezaponin
Carlepont,Cuts
Carlepont,Noyon
Carlepont,Cuts
Carlepont,Noyon
Cuts,Blerancourt
Blerancourt,Vezaponin
Cuts,Chauny
Chauny,Noyon
Chauny,Jussy
Guiscard,Noyon
Guiscard,Jussy
Guiscard,Ham
Guiscard,Ercheu
Ercheu,Roye
Ercheu,Chaulnes
Ham,Saint-Quentin
Ham,Athies
Athies,Peronne
Jussy,Saint-Quentin
Vermand,Saint-Quentin
Vermand,Peronne
Vermand,Athies
Saint-Quentin,Bellicourt
Saint-Quentin,Fresnoy-le-Grand
Fresnoy-le-Grand,Bohain-en-Vermandois
Bohain-en-Vermandois,Le Cateau
Bellicourt,Cambrai
Bellicourt,Le Cateau
Solesmes,Cambrai
Solesmes,Valenciennes
Bavay,Mons
Bavay,Valenciennes
Paris,Meaux
Paris,Nanteuil-le-Haudouin
Brussels,Mons
Brussels,Louvain
Louvain,Landen
Bavay,Maubeuge
Mons,Maubeuge
Maubeuge,AvesnesAvesnes,La CapelleLa Capelle,Le CateauLa Capelle,St. Quentin Valenciennes,CambraiCambrai,Le CateauCambrai,PeronnePeronne,ChaulnesChauny,LaonLaon-,SoissonsHam,ErcheuRoye,NoyonRoye,CompiegneNoyon,CompiegneCarlepont,CompiegneCompiegne,Crispy-en-ValoisCompiegne,SenlisSenlis,ParisLiege,NamurNamur,CharleroiLouvain,CharleroiCharleroi,Maubeuge
Compiegne,Crepy-en-Valois
Crepy-en-Valois,Nanteuil-le-Haudouin
