62.0,32.98438667414645,Aix-la-Chapelle
50.44702072287014,31.100404958378657,Liege
49.55967789421602,31.52367048386648,Ans
41.78721284201206,33.23182825653952,Landen
35.18559273074731,35.39313042826083,Louvain
29.13053276468882,34.88095737382468,Brussels
22.272708082779694,28.004948796928737,Mons
14.663646375233858,26.318875560011286,Valenciennes
9.773541330474618,23.132137113685047,Cambrai
10.654822282153711,17.46480292303275,Saint-Quentin
4.508804650633973,18.957791838060647,Peronne
2.1708834786438245,16.973811719350678,Chaulnes
2.0,14.873593547329314,Roye
9.474752594872934,13.446292325510651,Chauny
15.113305021428044,21.923997394711797,Le Cateau
22.459164613637157,24.984203706840717,Maubeuge
